SSBSECT_CRN;SSBSECT_SUBJ_CODE;SSBSECT_CRSE_NUMB;CUPO;INSCRITOS;NOMBRE_PROFESOR;LUNES;MARTES;MIERCOLES;JUEVES;VIERNES;SABADO;DOMINGO
10452;INFO;'00192';30;15;Dr. Juan Pérez;08:00_09:50 L101;;08:00_09:50 L101;;
10453;INFO;'00192';30;30;Dr. María García;;10:00_11:50 L102;;10:00_11:50 L102;
10454;INFO;'00192';30;28;Dr. Carlos López;13:00_14:50 L103;;13:00_14:50 L103;;
10455;INFO;'00156';35;20;Dra. Ana Martínez;10:00_11:50 L201;;10:00_11:50 L201;;
10456;INFO;'00156';35;35;Dr. Roberto Sánchez;;08:00_09:50 L202;;08:00_09:50 L202;
10457;INFO;'00156';35;25;Dra. Laura Fernández;;;;14:00_16:50 L203;
10458;FING;'02001';40;18;Prof. Miguel Torres;08:00_09:50 S301;;08:00_09:50 S301;;
10459;FING;'02001';40;40;Prof. Patricia Ramírez;;08:00_09:50 S302;;08:00_09:50 S302;
10460;FING;'02001';40;35;Prof. David Herrera;14:00_15:50 S303;;14:00_15:50 S303;;
10461;FING;'02002';45;22;Dr. Felipe Castro;10:00_11:50 Lab1;;10:00_11:50 Lab1;;
10462;FING;'02002';45;45;Dra. Carmen Ortiz;;14:00_15:50 Lab2;;14:00_15:50 Lab2;
10463;FING;'02002';45;30;Dr. Luis Mendoza;16:00_17:50 Lab1;;16:00_17:50 Lab1;;
10464;FING;'02003';50;25;Prof. Andrea Ruiz;;;08:00_09:50 A401;08:00_09:50 A401;
10465;FING;'02003';50;48;Prof. Diego Silva;10:00_11:50 A402;10:00_11:50 A402;;;
10466;INFO;'00145';30;12;Dra. Sofía Vargas;;13:00_14:50 DB1;;13:00_14:50 DB1;
10467;INFO;'00145';30;29;Dr. Andrés Mejía;15:00_16:50 DB2;;15:00_16:50 DB2;;
